Código;Ficha;Dependência;Nomenclatura;Conta-contábil;QNT SISCOFIS;Valor Un;Tipo;Prateleira;Obs
49;1001/22 (5)4, 2316 (9)1,  02/27 (4)0, 278 (2)0;;BARRACA MODULAR;;20;;MATERIAL;0;"15 estão para descarga

1001/22 (5) 4 - (Canadense) BARRACA BÁSICA DE EMPREGO MÚLTIPLO / -COR: VERDE OLIVA -DIMENSÕES:  LARGURA 4700 MM, COMPRIMENTO 6000 MM, ALTURA MÉDIA CUMEEIRA 3250 MM E  ALTURA MÉDIA NA LATERAL 2000 MM -CARACTERÍSTICAS ESPECIAIS: ESTRUTURA  EM AÇO, FORRO, TELA E ACESSÓRIOS, COBERTURA EM LONA MISTA DE  POLIÉSTER E ALGODÃO  6.989,00 e 7.870,00 -  1 está para DESCARGA NR PATR: 135239 valor 7.870,00 - Parte de Descarga nº 002/20 - Enc Mat. Bia C AD/5 de 15 de abril de 2020 - Curitiba-PR

2316 (9) 1 - (10 Praças) BARRACA DE CAMPANHA / Cor: Verde Oliva; Composição: Estrutura em Aço, Forro, Tela e Acessórios; Cobertura: Lona Mista de Poliéster e Algodão; Tipo: Para Oficial General; 1.800,00 e 3.412,10, destas 7 estão para descarga (DIEX Nr 03/21 de 17 Fev 21 vl um 3.412,10) e mais 1 (chão de barraca) para descarga (DIEX Nr 03/21 de 17 Fev 21 Vl Um 1.800,00).

02/27 (4) 0 - (Canadense) BARRACA BÁSICA DE EMPREGO MÚLTIPLO / Cor: Verde Oliva; Dimensões: 4700 mm x 6000 mm x 3250 / 2000; Composição: Estrutura em Aço, Forro, Tela e Acessórios; Cobertura: Lona Mista de  Poliéster e Algodão; 6.750,00  e 4.370,00, todas estão para descarga (DIEX Nr 03/21 de 17 Fev 21 Vl Um 4.370,00.)

278 (2) 0 - (10 Praças) BARRACA MODULAR / -COR: VERDE OLIVA -TIPO: PARA 10 PRAÇAS -MATERIAL: EM LONA NR 10 IMPERMEÁVEL, ALGODÃO NR 350 E LATERAIS INTERNAS EM TELA -DIMENSÕES:  COMPRIMENTO DE 3,80 M, LARGURA DE 5,45 M, ALTURA CENTRAL DE 3,00 M E ALTURA DAS  LATERAIS DE 1,80 M -CARACTERÍSTICAS ESPECIAIS: EM PVC OU IMPERMEABILIZADA, COM  OU SEM EXAUSTOR EM CADA FRENTE  1.130,00, todas estão para descarga  (DIEX Nr 03/21 de 17 Fev 21.)

Rodrigues: 
Das canadenses somente é possivel montar 5.
Faltam peças para montar as outras 4 barracas canadenses
Resumo, das 9 barracas canadenses, só existem 7, 5  estão ok para montagem e as outras 2 não tem ferragem."
50;158407 (1+8), 12316 (26+36), 301/20053 (30);;SACO VO;;101;;EQUIPAMENTO;30;
52;;;INSIGNIA BANDEIRA COM VELCRO;;;;FARDAMENTO;20;
53;000;RESERVA 4;AGASALHO DE TFM;;343;;FARDAMENTO;87;"Agasalho de tfm 1º classe à chegar:

tam PP: 10
tam P: 18
tam M: 31-
tam G: 31
tam GG: 10"
54;;;PORTA CAMEBACK;;;;EQUIPAMENTO;27;
55;;;MOCHILA CAMEBACK;;;;EQUIPAMENTO;2;Parte componente do colete tático.
56;10/20;;FRONHA BRANCA;;85;;MATERIAL;123;"Fronha branca NOVA em estoque: 6 unidades


Fronha branca à chegar: 47 unidades"
57;1717;;SANDÁLIA DE BORRACHA;;100;;FARDAMENTO;125;"Sandália de borracha preta à chegar: 


num 37/38: 4 pares
num 39/40: 34 pares
num 41/42: 50 pares
Aguardando completamento
num 43/44: 12 pares"
62;1894;;CACHECOL DE LÃ;;59;;FARDAMENTO;14;Cachecol de lã verde-oliva novo à chegar: 21 unidades
63;2047;;COLDRE AMBIDESTRO;;28;;EQUIPAMENTO;21;"Pedir descarga de 24
•	10 (dez) Valor: R$ 26,30 (vinte e seis reais e trinta centavos)
•	18 (dezoito) Valor: R$ 25,33 (vinte e cinco reais e trinta e três centavos)
•	Situação do material: 24 (vinte e quatro) indisponíveis"
64;1645/27;;CANECO;;200;;EQUIPAMENTO;3;"100 para descarga
TERMO DE EXAME E AVERIGUAÇÃO DE MATERIAL 02 - 2020
1. NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020.
20 unidades a 5,08 reais
80 unidades a 10,56 reais"
65;1783;;COBERTOR DE LÃ;;63;;MATERIAL;13;"Cobertor de Lã V.O à chegar: 14 unidades
49 EM CARGA"
66;;;BOTA 7 LEGAS;;;;FARDAMENTO;1;
67;48/27;;PÁ ARTICULADA;;141;;EQUIPAMENTO;43;
70;1719;;TÊNIS PRETO (2º CLASSE);;311;;FARDAMENTO;162;
71;10112, 123456, 2355,;;TOLDO TUBULAR;;20;;MATERIAL;9;"Refazer a contagem
02 PARA DESCARGA
Parte de Descarga nº 002/20 - Enc Mat. Bia C AD/5
De 15 de abril de 2020 - Curitiba-PR"
74;1647;;CINTO NA;;190;;EQUIPAMENTO;29;"150 para DESCARGA - TERMO DE EXAME E AVERIGUAÇÃO DE MATERIAL 02 - 2020 - 1. NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020.

150 unidades a 18,90 reais"
75;1523 (133), 17/27 (200);;SUSPENSORIO;;333;;EQUIPAMENTO;111;"63 para DESCARGA - TERMO DE EXAME E AVERIGUAÇÃO DE MATERIAL 02 - 2020 - 1. NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020.

63 unidades a 16,50 reais"
